"Title","Metric","Value","Source"
"Teacher | teacher_ham10000 | summary_ham10000_resnet50_teacher_test","accuracy","0.23502994011976047","D:\MedMNIST-EdgeAIv2\RESULTS\teacher_ham10000\tables\summary_ham10000_resnet50_teacher_test.csv"
"Teacher | teacher_ham10000 | summary_ham10000_resnet50_teacher_test","macro_f1","0.6520071721221621","D:\MedMNIST-EdgeAIv2\RESULTS\teacher_ham10000\tables\summary_ham10000_resnet50_teacher_test.csv"
"Teacher | teacher_ham10000 | summary_ham10000_resnet50_teacher_test","macro_precision","0.6306443423148137","D:\MedMNIST-EdgeAIv2\RESULTS\teacher_ham10000\tables\summary_ham10000_resnet50_teacher_test.csv"
"Teacher | teacher_ham10000 | summary_ham10000_resnet50_teacher_test","macro_recall","0.7018108694126182","D:\MedMNIST-EdgeAIv2\RESULTS\teacher_ham10000\tables\summary_ham10000_resnet50_teacher_test.csv"
"Teacher | teacher_ham10000 | summary_ham10000_resnet50_teacher_test","weighted_f1","0.2324277338019448","D:\MedMNIST-EdgeAIv2\RESULTS\teacher_ham10000\tables\summary_ham10000_resnet50_teacher_test.csv"
"Teacher | teacher_ham10000 | summary_ham10000_resnet50_teacher_test","micro_f1","0.23502994011976047","D:\MedMNIST-EdgeAIv2\RESULTS\teacher_ham10000\tables\summary_ham10000_resnet50_teacher_test.csv"
"Teacher | teacher_ham10000 | summary_ham10000_resnet50_teacher_test","avg_ce_loss","6.380440443337797","D:\MedMNIST-EdgeAIv2\RESULTS\teacher_ham10000\tables\summary_ham10000_resnet50_teacher_test.csv"
"Teacher | teacher_isic | summary_isic_resnet50_teacher_test","accuracy","0.6271186440677966","D:\MedMNIST-EdgeAIv2\RESULTS\teacher_isic\tables\summary_isic_resnet50_teacher_test.csv"
"Teacher | teacher_isic | summary_isic_resnet50_teacher_test","macro_f1","0.5581167766119972","D:\MedMNIST-EdgeAIv2\RESULTS\teacher_isic\tables\summary_isic_resnet50_teacher_test.csv"
"Teacher | teacher_isic | summary_isic_resnet50_teacher_test","macro_precision","0.6029266484385699","D:\MedMNIST-EdgeAIv2\RESULTS\teacher_isic\tables\summary_isic_resnet50_teacher_test.csv"
"Teacher | teacher_isic | summary_isic_resnet50_teacher_test","macro_recall","0.6041666666666666","D:\MedMNIST-EdgeAIv2\RESULTS\teacher_isic\tables\summary_isic_resnet50_teacher_test.csv"
"Teacher | teacher_isic | summary_isic_resnet50_teacher_test","weighted_f1","0.6076453319106858","D:\MedMNIST-EdgeAIv2\RESULTS\teacher_isic\tables\summary_isic_resnet50_teacher_test.csv"
"Teacher | teacher_isic | summary_isic_resnet50_teacher_test","micro_f1","0.6271186440677966","D:\MedMNIST-EdgeAIv2\RESULTS\teacher_isic\tables\summary_isic_resnet50_teacher_test.csv"
"Teacher | teacher_isic | summary_isic_resnet50_teacher_test","avg_ce_loss","1.3638130527431682","D:\MedMNIST-EdgeAIv2\RESULTS\teacher_isic\tables\summary_isic_resnet50_teacher_test.csv"
"Teacher | teacher_oct2017 | summary_oct2017_resnet50_teacher_test","accuracy","0.9979338842975206","D:\MedMNIST-EdgeAIv2\RESULTS\teacher_oct2017\tables\summary_oct2017_resnet50_teacher_test.csv"
"Teacher | teacher_oct2017 | summary_oct2017_resnet50_teacher_test","macro_f1","0.9979338798875492","D:\MedMNIST-EdgeAIv2\RESULTS\teacher_oct2017\tables\summary_oct2017_resnet50_teacher_test.csv"
"Teacher | teacher_oct2017 | summary_oct2017_resnet50_teacher_test","macro_precision","0.9979381355643981","D:\MedMNIST-EdgeAIv2\RESULTS\teacher_oct2017\tables\summary_oct2017_resnet50_teacher_test.csv"
"Teacher | teacher_oct2017 | summary_oct2017_resnet50_teacher_test","macro_recall","0.9979338842975207","D:\MedMNIST-EdgeAIv2\RESULTS\teacher_oct2017\tables\summary_oct2017_resnet50_teacher_test.csv"
"Teacher | teacher_oct2017 | summary_oct2017_resnet50_teacher_test","weighted_f1","0.9979338798875492","D:\MedMNIST-EdgeAIv2\RESULTS\teacher_oct2017\tables\summary_oct2017_resnet50_teacher_test.csv"
"Teacher | teacher_oct2017 | summary_oct2017_resnet50_teacher_test","micro_f1","0.9979338842975206","D:\MedMNIST-EdgeAIv2\RESULTS\teacher_oct2017\tables\summary_oct2017_resnet50_teacher_test.csv"
"Teacher | teacher_oct2017 | summary_oct2017_resnet50_teacher_test","avg_ce_loss","0.031028808171529906","D:\MedMNIST-EdgeAIv2\RESULTS\teacher_oct2017\tables\summary_oct2017_resnet50_teacher_test.csv"
"Student | efficientnet_b0 | Ablation=ATstrong | Dataset=ham10000","accuracy","0.03293413173652695","D:\MedMNIST-EdgeAIv2\RESULTS\students\efficientnet_b0\ATstrong\ham10000\tables\summary_ham_efficientnet_b0_ep0.csv"
"Student | efficientnet_b0 | Ablation=ATstrong | Dataset=ham10000","macro_f1","0.009109730848861283","D:\MedMNIST-EdgeAIv2\RESULTS\students\efficientnet_b0\ATstrong\ham10000\tables\summary_ham_efficientnet_b0_ep0.csv"
"Student | efficientnet_b0 | Ablation=ATstrong | Dataset=ham10000","macro_precision","0.004704875962360993","D:\MedMNIST-EdgeAIv2\RESULTS\students\efficientnet_b0\ATstrong\ham10000\tables\summary_ham_efficientnet_b0_ep0.csv"
"Student | efficientnet_b0 | Ablation=ATstrong | Dataset=ham10000","macro_recall","0.14285714285714285","D:\MedMNIST-EdgeAIv2\RESULTS\students\efficientnet_b0\ATstrong\ham10000\tables\summary_ham_efficientnet_b0_ep0.csv"
"Student | efficientnet_b0 | Ablation=ATstrong | Dataset=ham10000","weighted_f1","0.0021001475310249065","D:\MedMNIST-EdgeAIv2\RESULTS\students\efficientnet_b0\ATstrong\ham10000\tables\summary_ham_efficientnet_b0_ep0.csv"
"Student | efficientnet_b0 | Ablation=ATstrong | Dataset=ham10000","accuracy","0.03293413173652695","D:\MedMNIST-EdgeAIv2\RESULTS\students\efficientnet_b0\ATstrong\ham10000\tables\summary_ham_efficientnet_b0_ep10.csv"
"Student | efficientnet_b0 | Ablation=ATstrong | Dataset=ham10000","macro_f1","0.009109730848861283","D:\MedMNIST-EdgeAIv2\RESULTS\students\efficientnet_b0\ATstrong\ham10000\tables\summary_ham_efficientnet_b0_ep10.csv"
"Student | efficientnet_b0 | Ablation=ATstrong | Dataset=ham10000","macro_precision","0.004704875962360993","D:\MedMNIST-EdgeAIv2\RESULTS\students\efficientnet_b0\ATstrong\ham10000\tables\summary_ham_efficientnet_b0_ep10.csv"
"Student | efficientnet_b0 | Ablation=ATstrong | Dataset=ham10000","macro_recall","0.14285714285714285","D:\MedMNIST-EdgeAIv2\RESULTS\students\efficientnet_b0\ATstrong\ham10000\tables\summary_ham_efficientnet_b0_ep10.csv"
"Student | efficientnet_b0 | Ablation=ATstrong | Dataset=ham10000","weighted_f1","0.0021001475310249065","D:\MedMNIST-EdgeAIv2\RESULTS\students\efficientnet_b0\ATstrong\ham10000\tables\summary_ham_efficientnet_b0_ep10.csv"
"Student | efficientnet_b0 | Ablation=ATstrong | Dataset=ham10000","accuracy","0.03293413173652695","D:\MedMNIST-EdgeAIv2\RESULTS\students\efficientnet_b0\ATstrong\ham10000\tables\summary_ham_efficientnet_b0_ep12.csv"
"Student | efficientnet_b0 | Ablation=ATstrong | Dataset=ham10000","macro_f1","0.009109730848861283","D:\MedMNIST-EdgeAIv2\RESULTS\students\efficientnet_b0\ATstrong\ham10000\tables\summary_ham_efficientnet_b0_ep12.csv"
"Student | efficientnet_b0 | Ablation=ATstrong | Dataset=ham10000","macro_precision","0.004704875962360993","D:\MedMNIST-EdgeAIv2\RESULTS\students\efficientnet_b0\ATstrong\ham10000\tables\summary_ham_efficientnet_b0_ep12.csv"
